N,종목명,현재가,전일비,등락률,액면가,매출액,영업이익,PER,ROE
1197.0,신풍제약우,21350.0,상승  250,+1.18%,500.0,,,-22.29,
1198.0,유엔젤,3520.0,하락  30,-0.85%,500.0,366.0,-18.0,24.96,2.65
1199.0,ACE 인도네시아MSCI(합성),9440.0,상승  45,+0.48%,0.0,,,,
1200.0,에이엔피,1024.0,하락  20,-1.92%,500.0,1409.0,-18.0,-4.11,-31.64
1201.0,한투 레버리지 천연가스 선물 ETN B,9215.0,하락  740,-7.43%,0.0,,,,
1202.0,ACE AI반도체포커스,17260.0,하락  140,-0.80%,0.0,,,,
1203.0,KODEX 삼성전자채권혼합Wise,11150.0,하락  5,-0.04%,0.0,,,,
1204.0,MH에탄올,6190.0,보합0,0.00%,500.0,1055.0,189.0,8.97,6.85
1205.0,TIGER 미국나스닥바이오,22135.0,상승  550,+2.55%,0.0,,,,
1206.0,KODEX 미국S&P500에너지(합성),14600.0,상승  100,+0.69%,0.0,,,,
1207.0,KODEX 미국30년국채+12%프리미엄(합성 H),10070.0,상승  60,+0.60%,0.0,,,,
1208.0,DL우,26850.0,상승  350,+1.32%,5000.0,,,-7.4,
1209.0,대림통상,2940.0,상승  10,+0.34%,1000.0,1457.0,-49.0,-6.14,-10.58
1210.0,KC그린홀딩스,1978.0,상승  33,+1.70%,500.0,6985.0,-299.0,0.58,-14.6
1211.0,평화홀딩스,3020.0,보합0,0.00%,500.0,7971.0,168.0,18.64,8.0
1212.0,한국전자홀딩스,940.0,하락  1,-0.11%,500.0,2668.0,-247.0,-15.16,-2.1
1213.0,SK디스커버리우,32300.0,하락  100,-0.31%,5000.0,,,7.29,
1214.0,KBSTAR 글로벌리얼티인컴,9745.0,상승  130,+1.35%,0.0,,,,
1215.0,참엔지니어링,514.0,상한가  118,+29.80%,500.0,763.0,-281.0,-1.69,-34.86
1216.0,한투 코스피 양매도 3% OTM ETN,8700.0,보합0,0.00%,0.0,,,,
1217.0,HANARO Fn조선해운,11140.0,하락  65,-0.58%,0.0,,,,
1218.0,세기상사,7800.0,보합0,0.00%,500.0,313.0,-8.0,-24.07,-5.81
1219.0,TIGER 유로스탁스50(합성 H),18015.0,상승  230,+1.29%,0.0,,,,
1220.0,삼성 미국 대형 가치주 ETN,21325.0,상승  335,+1.60%,0.0,,,,
1221.0,삼성 미국 대형 성장주 ETN(H),21310.0,보합0,0.00%,0.0,,,,
1222.0,ARIRANG 일본반도체소부장Solactive,13900.0,상승  145,+1.05%,0.0,,,,
1223.0,키움 코스피 200 TR ETN,10595.0,하락  35,-0.33%,0.0,,,,
1224.0,ACE 미국500 15%프리미엄분배(합성),10310.0,보합0,0.00%,0.0,,,,
1225.0,KBSTAR KOFR금리액티브(합성),100335.0,상승  25,+0.02%,0.0,,,,
1226.0,삼성 레버리지 금 선물 ETN(H),42025.0,상승  610,+1.47%,0.0,,,,
1227.0,KR모터스,697.0,하락  18,-2.52%,500.0,784.0,-179.0,-1.32,-59.28
1228.0,신한 구리 선물 ETN(H),20955.0,하락  120,-0.57%,0.0,,,,
1229.0,KBSTAR AI&로봇,9525.0,상승  25,+0.26%,0.0,,,,
1230.0,QV S&P500 버퍼10% 9월 ETN,13950.0,보합0,0.00%,0.0,,,,
1231.0,파워 200,36285.0,하락  30,-0.08%,0.0,,,,
1232.0,KOSEF 통안채1년,103900.0,상승  15,+0.01%,0.0,,,,
1233.0,에셋플러스 글로벌플랫폼액티브,8480.0,하락  25,-0.29%,0.0,,,,
1234.0,TIGER 골드선물(H),15575.0,상승  105,+0.68%,0.0,,,,
1235.0,TIGER Fn신재생에너지,10310.0,상승  160,+1.58%,0.0,,,,
1236.0,KBSTAR 고배당,13665.0,상승  60,+0.44%,0.0,,,,
1237.0,TIGER 글로벌클라우드컴퓨팅INDXX,9750.0,상승  65,+0.67%,0.0,,,,
1238.0,원림,17640.0,하락  100,-0.56%,5000.0,844.0,51.0,5.32,6.29
1239.0,삼성 인버스 0.5X S&P500 VIX S/T선물 ETN,40525.0,상승  395,+0.98%,0.0,,,,
1240.0,이화산업,14450.0,상승  140,+0.98%,5000.0,472.0,-18.0,-25.22,-1.53
1241.0,TIGER 인터넷TOP10,3725.0,하락  15,-0.40%,0.0,,,,
1242.0,ACE 미국빅테크7+ 15%프리미엄분배(합성),10905.0,하락  135,-1.22%,0.0,,,,
1243.0,KODEX WTI원유선물인버스(H),4265.0,상승  60,+1.43%,0.0,,,,
1244.0,KBSTAR 미국달러SOFR금리액티브(합성),11010.0,상승  50,+0.46%,0.0,,,,
1245.0,KODEX 미국달러선물인버스,8195.0,하락  30,-0.36%,0.0,,,,
1246.0,세우글로벌,1394.0,상승  9,+0.65%,500.0,361.0,24.0,14.37,5.42
1247.0,한투 인버스 0.5X S&P500 VIX S/T 선물 ETN,39930.0,보합0,0.00%,0.0,,,,
1248.0,KODEX 미디어&엔터테인먼트,11080.0,하락  35,-0.31%,0.0,,,,
1249.0,하나 Solactive US Tech Top 10 ETN(H),19890.0,보합0,0.00%,0.0,,,,
1250.0,ACE 200TR,23380.0,하락  20,-0.09%,0.0,,,,
1251.0,ACE 삼성그룹섹터가중,14705.0,하락  90,-0.61%,0.0,,,,
1252.0,KOSEF 글로벌AI반도체,14700.0,하락  50,-0.34%,0.0,,,,
1253.0,TIGER 차이나전기차레버리지(합성),4685.0,상승  95,+2.07%,0.0,,,,
1254.0,KODEX 미국S&P500배당귀족커버드콜(합성 H),8350.0,상승  120,+1.46%,0.0,,,,
1255.0,신한 레버리지 다우존스지수 선물 ETN(H),39215.0,상승  55,+0.14%,0.0,,,,
1256.0,유화증권우,2220.0,보합0,0.00%,1000.0,,,22.42,
1257.0,HANARO 200선물레버리지,20415.0,하락  25,-0.12%,0.0,,,,
1258.0,미래에셋 1.5X 천연가스 선물 ETN,15505.0,하락  870,-5.31%,0.0,,,,
1259.0,KODEX 증권,6910.0,보합0,0.00%,0.0,,,,
1260.0,ACE 포스코그룹포커스,6305.0,상승  35,+0.56%,0.0,,,,
1261.0,KODEX 한국부동산리츠인프라,5255.0,상승  25,+0.48%,0.0,,,,
1262.0,부산주공,486.0,보합0,0.00%,500.0,2417.0,4.0,-34.71,-24.59
1263.0,DL이앤씨우,17890.0,상승  190,+1.07%,5000.0,,,6.19,
1264.0,두산퓨얼셀2우B,12660.0,"상승  1,020",+8.76%,100.0,,,-97.38,
1265.0,TIGER 인버스,4805.0,상승  5,+0.10%,0.0,,,,
1266.0,유안타증권우,2890.0,상승  5,+0.17%,5000.0,,,9.54,
1267.0,하나 -0.5X S&P500 VIX S/T 선물 ETN(H),37300.0,보합0,0.00%,0.0,,,,
1268.0,형지엘리트,1194.0,상승  12,+1.02%,500.0,945.0,25.0,15.31,2.9
1269.0,KBSTAR Fn컨택트대표,6270.0,상승  85,+1.37%,0.0,,,,
1270.0,SOL 미국TOP5채권혼합40 Solactive,12370.0,하락  80,-0.64%,0.0,,,,
1271.0,KBSTAR 2차전지TOP10,11875.0,상승  95,+0.81%,0.0,,,,
1272.0,TIGER 200 헬스케어,16790.0,하락  190,-1.12%,0.0,,,,
1273.0,WISCOM,2410.0,상승  25,+1.05%,500.0,1123.0,-29.0,-33.01,-0.43
1274.0,HANARO 원자력iSelect,18840.0,상승  220,+1.18%,0.0,,,,
1275.0,미래에셋 KRX금현물 Auto-KO-C 2810-01 ETN,12235.0,상승  90,+0.74%,0.0,,,,
1276.0,경인전자,23250.0,하락  150,-0.64%,5000.0,211.0,2.0,7.05,8.6
1277.0,HANARO 글로벌럭셔리S&P(합성),19100.0,상승  340,+1.81%,0.0,,,,
1278.0,국동,543.0,상승  10,+1.88%,500.0,2244.0,-36.0,-2.59,-7.74
1279.0,TIGER S&P글로벌헬스케어(합성),22680.0,하락  490,-2.11%,0.0,,,,
1280.0,ARIRANG 미국채30년액티브,50320.0,상승  560,+1.13%,0.0,,,,
1281.0,KODEX 인도타타그룹,9925.0,상승  45,+0.46%,0.0,,,,
1282.0,삼성 블룸버그 인버스 2X WTI원유 선물 ETN,14490.0,상승  495,+3.54%,0.0,,,,
1283.0,TIGER 레버리지,18090.0,하락  40,-0.22%,0.0,,,,
1284.0,삼성 KRX 금현물 ETN,18085.0,상승  160,+0.89%,0.0,,,,
1285.0,대신343 K200,36165.0,하락  15,-0.04%,0.0,,,,
1286.0,동일제강,1779.0,상승  5,+0.28%,500.0,1808.0,-29.0,-10.28,-2.03
1287.0,삼성 블룸버그 레버리지 WTI원유 선물 ETN,14425.0,하락  405,-2.73%,0.0,,,,
1288.0,SOL 미국S&P500ESG,14420.0,상승  60,+0.42%,0.0,,,,
1289.0,SUN&L,2830.0,상승  50,+1.80%,1000.0,4411.0,-302.0,-0.23,-82.02
1290.0,ACE 중장기국공채액티브,102070.0,하락  15,-0.01%,0.0,,,,
1291.0,범양건영,1422.0,상승  16,+1.14%,1000.0,1208.0,-104.0,-4.39,-13.7
1292.0,KODEX 200ESG,13515.0,하락  80,-0.59%,0.0,,,,
1293.0,HANARO Fn K-뉴딜디지털플러스,7320.0,하락  35,-0.48%,0.0,,,,
1294.0,에넥스,584.0,하락  6,-1.02%,500.0,2306.0,-70.0,-2.4,-47.3
1295.0,화인베스틸,1136.0,상승  16,+1.43%,500.0,1322.0,-198.0,-1.97,
1296.0,WOORI 대한민국국고채액티브,53175.0,상승  50,+0.09%,0.0,,,,
1297.0,삼성 미국 대형 가치주 ETN(H),17470.0,보합0,0.00%,0.0,,,,
1298.0,대한방직,6580.0,상승  20,+0.30%,1000.0,1494.0,-18.0,-19.88,-2.76
1299.0,KODEX Fn웹툰&드라마,3745.0,상승  15,+0.40%,0.0,,,,
1300.0,제이준코스메틱,7760.0,상승  150,+1.97%,500.0,170.0,-102.0,-6.02,-16.66
1301.0,KBSTAR 중국본토CSI300,9380.0,상승  95,+1.02%,0.0,,,,
1302.0,신한 금 선물 ETN(H),17295.0,상승  90,+0.52%,0.0,,,,
1303.0,전방,20550.0,하락  400,-1.91%,5000.0,948.0,-325.0,-3.31,-9.59
1304.0,KOSEF 미국달러선물,15070.0,상승  70,+0.47%,0.0,,,,
1305.0,KBSTAR 금융채액티브,101410.0,상승  15,+0.01%,0.0,,,,
1306.0,TIMEFOLIO Korea플러스배당액티브,13320.0,상승  35,+0.26%,0.0,,,,
1307.0,KODEX 미국달러선물레버리지,14725.0,상승  135,+0.93%,0.0,,,,
1308.0,TIGER 차이나바이오테크SOLACTIVE,5300.0,상승  110,+2.12%,0.0,,,,
1309.0,태원물산,4450.0,보합0,0.00%,500.0,92.0,-8.0,2.05,-0.28
1310.0,대신 레버리지 코스닥 150 선물 ETN,33780.0,상승  700,+2.12%,0.0,,,,
1311.0,ACE 미국빅테크TOP7 Plus레버리지(합성),18660.0,하락  395,-2.07%,0.0,,,,
1312.0,KBSTAR 국고채3년,108670.0,보합0,0.00%,0.0,,,,
1313.0,삼성 레버리지 코스닥150 선물 ETN,33475.0,상승  575,+1.75%,0.0,,,,
1314.0,국보,2110.0,보합0,0.00%,500.0,474.0,-121.0,-0.91,-86.44
1315.0,한투 레버리지 금 선물 ETN,33425.0,상승  340,+1.03%,0.0,,,,
1316.0,성문전자,1480.0,상승  5,+0.34%,500.0,451.0,5.0,-18.27,-4.84
1317.0,신한 은 선물 ETN(H),16615.0,하락  150,-0.89%,0.0,,,,
1318.0,한화투자증권우,6910.0,상승  200,+2.98%,5000.0,,,164.52,
1319.0,TBH글로벌,1588.0,하락  9,-0.56%,500.0,1971.0,79.0,7.06,10.93
1320.0,우진아이엔에스,4340.0,하락  20,-0.46%,500.0,1002.0,-33.0,41.73,2.05
1321.0,TIGER 구리실물,12560.0,하락  150,-1.18%,0.0,,,,
1322.0,BYC우,15300.0,하락  100,-0.65%,500.0,,,5.71,
1323.0,하나 레버리지 코스닥150 선물 ETN,32785.0,하락  330,-1.00%,0.0,,,,
1324.0,한투 레버리지 코스닥150선물 ETN,32780.0,하락  355,-1.07%,0.0,,,,
1325.0,미래에셋 미국 AI TOP3 ETN,10910.0,하락  205,-1.84%,0.0,,,,
1326.0,호텔신라우,43400.0,하락  200,-0.46%,5000.0,,,55.71,
1327.0,KBSTAR 미국S&P500(H),12980.0,하락  20,-0.15%,0.0,,,,
1328.0,KODEX K-친환경선박액티브,11325.0,상승  155,+1.39%,0.0,,,,
1329.0,삼성 레버리지 나스닥 100 ETN,32175.0,하락  335,-1.03%,0.0,,,,
1330.0,동원수산,6890.0,상승  280,+4.24%,5000.0,1419.0,-194.0,-2.33,-33.44
1331.0,미래에셋 인버스 2X 원유선물혼합 ETN(H),12800.0,상승  385,+3.10%,0.0,,,,
1332.0,KBSTAR 미국30년국채커버드콜(합성),9530.0,상승  105,+1.11%,0.0,,,,
1333.0,SOL KIS단기통안채,107110.0,상승  25,+0.02%,0.0,,,,
1334.0,KODEX TRF7030,16725.0,상승  80,+0.48%,0.0,,,,
1335.0,KBSTAR 차이나HSCEI(H),7550.0,상승  50,+0.67%,0.0,,,,
1336.0,동양고속,10950.0,하락  70,-0.64%,5000.0,1200.0,-3.0,-6.41,-4.3
1337.0,신풍,901.0,하락  4,-0.44%,500.0,269.0,-40.0,-6.26,-8.53
1338.0,삼성 레버리지 China A50 선물 ETN(H),31450.0,하락  340,-1.07%,0.0,,,,
1339.0,삼성 China A50 선물 ETN(H),15615.0,보합0,0.00%,0.0,,,,
1340.0,윌비스,463.0,하락  7,-1.49%,1000.0,2161.0,-42.0,-2.27,-14.78
1341.0,메리츠 KAP 통안채 6개월 ETN,51835.0,보합0,0.00%,0.0,,,,
1342.0,이스타코,725.0,하락  3,-0.41%,500.0,133.0,-17.0,-8.73,-6.66
1343.0,SOL 미국AI반도체칩메이커,10695.0,하락  20,-0.19%,0.0,,,,
1344.0,하이트론,1118.0,상승  10,+0.90%,500.0,55.0,-66.0,-2.93,-136.62
1345.0,미래에셋 원유선물혼합 ETN(H),30690.0,하락  450,-1.45%,0.0,,,,
1346.0,TIGER 차이나항셍테크레버리지(합성 H),5425.0,상승  5,+0.09%,0.0,,,,
1347.0,미래에셋 미국 방위산업 TOP3 ETN,10210.0,상승  160,+1.59%,0.0,,,,
1348.0,대유플러스,241.0,보합0,0.00%,500.0,353.0,-328.0,-0.18,556.76
1349.0,KODEX 일본TOPIX100,21130.0,상승  435,+2.10%,0.0,,,,
1350.0,신한 레버리지 미국달러 선물 ETN,15200.0,상승  95,+0.63%,0.0,,,,
1351.0,신한 S&P500 VIX S/T 선물 ETN D,5050.0,하락  25,-0.49%,0.0,,,,
1352.0,메리츠 3X 레버리지 미국채30년 ETN,50230.0,"상승  1,120",+2.28%,0.0,,,,
1353.0,삼성 코스닥 150 TR ETN,10010.0,상승  135,+1.37%,0.0,,,,
1354.0,미래아이앤지,1076.0,상승  19,+1.80%,500.0,130.0,32.0,-1.73,-14.58
1355.0,ARIRANG 미국장기우량회사채,88950.0,하락  220,-0.25%,0.0,,,,
1356.0,KODEX 미국S&P500유틸리티,11510.0,상승  270,+2.40%,0.0,,,,
1357.0,삼성 레버리지 코스피200 선물 ETN,29850.0,하락  50,-0.17%,0.0,,,,
1358.0,신한 레버리지 코스피 200 선물 ETN,29820.0,하락  120,-0.40%,0.0,,,,
1359.0,KBSTAR 국고채10년액티브,99400.0,하락  60,-0.06%,0.0,,,,
1360.0,ACE 일본Nikkei225(H),27065.0,상승  325,+1.22%,0.0,,,,
1361.0,KOSEF 글로벌퓨처모빌리티,9865.0,상승  85,+0.87%,0.0,,,,
1362.0,ACE 미국반도체15%프리미엄분배(합성),11355.0,상승  5,+0.04%,0.0,,,,
1363.0,ARIRANG 미국단기회사채(AAA~A),119965.0,상승  665,+0.56%,0.0,,,,
1364.0,TIGER 글로벌멀티에셋TIF액티브,10695.0,상승  125,+1.18%,0.0,,,,
1365.0,TIGER 200IT레버리지,41980.0,"하락  1,290",-2.98%,0.0,,,,
1366.0,KODEX TRF5050,14605.0,상승  55,+0.38%,0.0,,,,
1367.0,신한 브렌트원유 선물 ETN(H),14570.0,하락  240,-1.62%,0.0,,,,
1368.0,한투 블룸버그 인버스 2X WTI원유 선물 ETN,14545.0,상승  505,+3.60%,0.0,,,,
1369.0,KBSTAR 글로벌원자력iSelect,18750.0,상승  425,+2.32%,0.0,,,,
1370.0,한투 블룸버그 레버리지 WTI원유 선물 ETN,14475.0,하락  385,-2.59%,0.0,,,,
1371.0,대교우B,1484.0,하락  7,-0.47%,500.0,,,-1.9,
1372.0,금호전기,749.0,하락  1,-0.13%,500.0,534.0,-82.0,-1.65,-73.41
1373.0,QV 미국 IT TOP5 ETN(H),41145.0,하락  810,-1.93%,0.0,,,,
1374.0,삼성 레버리지 S&P500 선물 ETN,28750.0,하락  85,-0.29%,0.0,,,,
1375.0,롯데지주우,35600.0,상승  50,+0.14%,200.0,,,-41.93,
1376.0,ARIRANG 미국나스닥테크,33385.0,하락  365,-1.08%,0.0,,,,
1377.0,세방우,7650.0,상승  20,+0.26%,500.0,,,1.93,
1378.0,한투 인버스 2X 나스닥 100 ETN,940.0,상승  17,+1.84%,0.0,,,,
1379.0,SOL 코스닥150,13145.0,상승  120,+0.92%,0.0,,,,
1380.0,진도,2245.0,보합0,0.00%,500.0,564.0,38.0,9.02,4.15
1381.0,KODEX 글로벌로봇(합성),17800.0,상승  180,+1.02%,0.0,,,,
1382.0,TIMEFOLIO Kstock액티브,9600.0,하락  25,-0.26%,0.0,,,,
1383.0,QV 레버리지 금 선물 ETN(H),27795.0,하락  115,-0.41%,0.0,,,,
1384.0,메리츠 레버리지 금 선물 ETN(H),27640.0,상승  140,+0.51%,0.0,,,,
1385.0,비비안,926.0,하락  11,-1.17%,500.0,2173.0,49.0,-3.97,-8.44
1386.0,SOL 반도체후공정,14475.0,하락  100,-0.69%,0.0,,,,
1387.0,QV 블룸버그 2X 천연가스 선물 ETN(H),465.0,하락  36,-7.19%,0.0,,,,
1388.0,하나 레버리지 콩 선물 ETN(H),27370.0,상승  305,+1.13%,0.0,,,,
1389.0,ACE 5월만기자동연장회사채AA-이상액티브,10135.0,상승  5,+0.05%,0.0,,,,
1390.0,KODEX 탄소효율그린뉴딜,9085.0,상승  55,+0.61%,0.0,,,,
1391.0,KB 레버리지 KRX 2차전지 K-뉴딜 ETN,2475.0,상승  20,+0.81%,0.0,,,,
1392.0,KODEX 미국배당+10%프리미엄다우존스,10015.0,상승  185,+1.88%,0.0,,,,
1393.0,스타리츠,3445.0,하락  10,-0.29%,5000.0,75.0,1.0,10.5,5.24
1394.0,신한 콩 선물 ETN(H),13450.0,보합0,0.00%,0.0,,,,
1395.0,주연테크,454.0,하락  5,-1.09%,200.0,435.0,-47.0,-6.05,-11.24
1396.0,미래에셋 -2X 미국채울트라30년 선물 ETN,13375.0,하락  135,-1.00%,0.0,,,,
1397.0,한투 레버리지 은 선물 ETN,26670.0,하락  560,-2.06%,0.0,,,,
1398.0,KODEX 고배당,10250.0,상승  65,+0.64%,0.0,,,,
1399.0,메리츠 인버스 천연가스 선물 ETN(H),26600.0,상승  950,+3.70%,0.0,,,,
1400.0,미래에셋 인버스 천연가스 선물 ETN(H),26565.0,"상승  1,055",+4.14%,0.0,,,,
1401.0,SOL 국고채3년,103145.0,상승  15,+0.01%,0.0,,,,
1402.0,TIGER 글로벌BBIG액티브,14805.0,하락  50,-0.34%,0.0,,,,
1403.0,KoAct 글로벌기후테크인프라액티브,13865.0,상승  270,+1.99%,0.0,,,,
1404.0,ARIRANG 고배당주채권혼합,11950.0,상승  55,+0.46%,0.0,,,,
1405.0,솔루스첨단소재2우B,6950.0,하락  50,-0.71%,100.0,,,3.16,
1406.0,ACE ESG액티브,8195.0,하락  5,-0.06%,0.0,,,,
1407.0,TIGER TSMC밸류체인FACTSET,16345.0,하락  75,-0.46%,0.0,,,,
1408.0,KBSTAR 내수주플러스,8070.0,상승  15,+0.19%,0.0,,,,
1409.0,KODEX 코스피TR,13065.0,상승  5,+0.04%,0.0,,,,
1410.0,KODEX IT,20035.0,하락  265,-1.31%,0.0,,,,
1411.0,미래에셋 중국 심천 100 ETN,12960.0,상승  160,+1.25%,0.0,,,,
1412.0,대상우,18880.0,상승  350,+1.89%,1000.0,,,9.15,
1413.0,KODEX K-미래차액티브,9365.0,하락  55,-0.58%,0.0,,,,
1414.0,ACE 8월만기자동연장회사채AA-이상액티브,10150.0,상승  5,+0.05%,0.0,,,,
1415.0,삼성 인버스 2X 나스닥 100 ETN,12820.0,상승  215,+1.71%,0.0,,,,
1416.0,KODEX S&P글로벌인프라(합성),16015.0,상승  385,+2.46%,0.0,,,,
1417.0,KB 일본 로보틱스 TOP 10 ETN,12790.0,상승  290,+2.32%,0.0,,,,
1418.0,KODEX iShares미국하이일드액티브,10820.0,상승  90,+0.84%,0.0,,,,
1419.0,ACE 일본반도체,12765.0,상승  155,+1.23%,0.0,,,,
1420.0,메리츠 레버리지 인플레이션 국채 ETN,12765.0,상승  25,+0.20%,0.0,,,,
1421.0,대한항공우,22900.0,상승  50,+0.22%,5000.0,,,7.04,
1422.0,TIGER 코스피고배당,14580.0,상승  130,+0.90%,0.0,,,,
1423.0,TIGER 삼성그룹펀더멘털,12170.0,상승  45,+0.37%,0.0,,,,
1424.0,TIGER 미국달러선물인버스2X,5865.0,하락  50,-0.85%,0.0,,,,
1425.0,신한 레버리지 구리 선물 ETN,25205.0,하락  220,-0.87%,0.0,,,,
1426.0,KODEX 미국러셀2000(H),12600.0,상승  165,+1.33%,0.0,,,,
1427.0,SOL 글로벌탄소배출권선물ICE(합성),13235.0,상승  125,+0.95%,0.0,,,,
1428.0,TIGER 200커버드콜ATM,8980.0,상승  5,+0.06%,0.0,,,,
1429.0,KODEX 200롱코스닥150숏선물,8900.0,하락  115,-1.28%,0.0,,,,
1430.0,KODEX KRX기후변화솔루션,11855.0,하락  60,-0.50%,0.0,,,,
1431.0,KOSEF 미국S&P500,14500.0,상승  45,+0.31%,0.0,,,,
1432.0,TIGER 코스닥150바이오테크,10040.0,상승  100,+1.01%,0.0,,,,
1433.0,미래에셋 인버스 2X 코스피200 선물 ETN,12130.0,상승  25,+0.21%,0.0,,,,
1434.0,메리츠 미국채10년 ETN(H),8055.0,상승  5,+0.06%,0.0,,,,
1435.0,한국주강,2135.0,하락  20,-0.93%,500.0,538.0,24.0,10.31,7.95
1436.0,한국ANKOR유전,343.0,보합0,0.00%,0.0,,,,
1437.0,한솔PNS,1165.0,하락  28,-2.35%,500.0,3117.0,-18.0,-6.37,-8.79
1438.0,메리츠 인플레이션 국채 ETN,11780.0,상승  25,+0.21%,0.0,,,,
1439.0,신한 다우존스지수 선물 ETN(H),23550.0,상승  5,+0.02%,0.0,,,,
1440.0,미래에셋 레버리지 미국 AI TOP3 ETN,23550.0,"하락  1,040",-4.23%,0.0,,,,
1441.0,대상홀딩스우,25650.0,"상승  1,800",+7.55%,1000.0,,,72.46,
1442.0,한창,1254.0,보합0,0.00%,500.0,663.0,2.0,-1.0,-182.79
1443.0,ARIRANG 우량회사채50 1년,115805.0,상승  5,0.00%,0.0,,,,
1444.0,TIGER 원유선물Enhanced(H),4490.0,하락  60,-1.32%,0.0,,,,
1445.0,KODEX 배당성장채권혼합,12835.0,상승  35,+0.27%,0.0,,,,
1446.0,KODEX 보험,9580.0,상승  50,+0.52%,0.0,,,,
1447.0,KODEX 차이나2차전지MSCI(합성),5565.0,상승  35,+0.63%,0.0,,,,
1448.0,LX하우시스우,22100.0,상승  250,+1.14%,5000.0,,,2.93,
1449.0,TIGER KEDI혁신기업ESG30,9665.0,하락  30,-0.31%,0.0,,,,
1450.0,KODEX 건설,3195.0,상승  45,+1.43%,0.0,,,,
1451.0,한투 레버리지 구리 선물 ETN,22645.0,하락  175,-0.77%,0.0,,,,
1452.0,QV 레버리지 은 선물 ETN(H),22610.0,하락  935,-3.97%,0.0,,,,
1453.0,메리츠 레버리지 은 선물 ETN(H),22595.0,하락  240,-1.05%,0.0,,,,
1454.0,KODEX 차이나A50,18780.0,상승  20,+0.11%,0.0,,,,
1455.0,KBSTAR 중장기국공채액티브,104520.0,하락  30,-0.03%,0.0,,,,
1456.0,녹십자홀딩스2우,26550.0,상승  400,+1.53%,500.0,,,-18.99,
1457.0,ACE 일본TOPIX레버리지(H),44920.0,"상승  1,510",+3.48%,0.0,,,,
1458.0,KODEX 철강,8600.0,상승  55,+0.64%,0.0,,,,
1459.0,KODEX 차이나심천ChiNext(합성),7960.0,상승  80,+1.02%,0.0,,,,
1460.0,TIGER 퓨처모빌리티액티브,9535.0,보합0,0.00%,0.0,,,,
1461.0,삼성 레버리지 항셍테크 ETN(H) B,22075.0,상승  150,+0.68%,0.0,,,,
1462.0,KODEX 코스피100,27580.0,하락  100,-0.36%,0.0,,,,
1463.0,미래에셋 2X 홍콩H 선물 ETN,22050.0,상승  295,+1.36%,0.0,,,,
1464.0,QV 월간 레버리지 선진국 1등주 ETN,22040.0,상승  30,+0.14%,0.0,,,,
1465.0,KoAct 글로벌AI&로봇액티브,13670.0,하락  260,-1.87%,0.0,,,,
1466.0,ARIRANG ESG가치주액티브,8575.0,하락  5,-0.06%,0.0,,,,
1467.0,메리츠 레버리지 국채30년 ETN,5460.0,하락  10,-0.18%,0.0,,,,
1468.0,ACE 미국나스닥100채권혼합액티브,12120.0,상승  35,+0.29%,0.0,,,,
1469.0,KODEX 게임산업,6800.0,하락  30,-0.44%,0.0,,,,
1470.0,마이티 다이나믹퀀트액티브,12635.0,하락  65,-0.51%,0.0,,,,
1471.0,QV 미국달러 SOFR금리 플러스 ETN,10850.0,상승  20,+0.18%,0.0,,,,
1472.0,ACE 2차전지&친환경차액티브,11420.0,상승  125,+1.11%,0.0,,,,
1473.0,ACE 아시아TOP50S&P,14410.0,상승  80,+0.56%,0.0,,,,
1474.0,미래에셋 인버스 2X 옥수수 선물 ETN,21540.0,상승  395,+1.87%,0.0,,,,
1475.0,QV iSelect 글로벌 EMP ETN(H),10750.0,보합0,0.00%,0.0,,,,
1476.0,ACE 코스닥150,13410.0,상승  190,+1.44%,0.0,,,,
1477.0,KBSTAR 200선물인버스2X,2165.0,상승  5,+0.23%,0.0,,,,
1478.0,QV 코스피 200 TR ETN,10670.0,상승  5,+0.05%,0.0,,,,
1479.0,미래에셋 인버스 코스피200 선물 ETN,10655.0,상승  5,+0.05%,0.0,,,,
1480.0,KOSEF 미국나스닥100(H),15220.0,하락  100,-0.65%,0.0,,,,
1481.0,신한 인버스 코스피 200 선물 ETN,10645.0,상승  20,+0.19%,0.0,,,,
1482.0,넥센타이어1우B,3265.0,하락  10,-0.31%,500.0,,,2.57,
1483.0,ACE 미국친환경그린테마INDXX,9410.0,상승  320,+3.52%,0.0,,,,
1484.0,KBSTAR 글로벌4차산업IT(합성 H),28170.0,하락  420,-1.47%,0.0,,,,
1485.0,KB 일본 컨슈머 TOP 10 ETN,10560.0,상승  190,+1.83%,0.0,,,,
1486.0,QV 선진국 1등주 ETN,10535.0,보합0,0.00%,0.0,,,,
1487.0,KODEX 미국부동산리츠(H),11025.0,상승  275,+2.56%,0.0,,,,
1488.0,KB 레버리지 FANG 플러스 ETN(H),41760.0,하락  925,-2.17%,0.0,,,,
1489.0,1Q 차이나H(H),11585.0,상승  160,+1.40%,0.0,,,,
1490.0,미래에셋 레버리지 미국 방위산업 TOP3 ETN,20770.0,상승  495,+2.44%,0.0,,,,
1491.0,메리츠 KIS 통안채 1년 ETN,51915.0,보합0,0.00%,0.0,,,,
1492.0,TIGER 미국캐시카우100,11845.0,상승  330,+2.87%,0.0,,,,
1493.0,SHD,17000.0,보합0,0.00%,5000.0,1063.0,7.0,-14.78,0.22
1494.0,KODEX 배당성장,15290.0,상승  110,+0.72%,0.0,,,,
1495.0,메리츠 인버스 국채3년 ETN,10225.0,상승  5,+0.05%,0.0,,,,
