N,종목명,현재가,전일비,등락률,액면가,매출액,영업이익,PER,ROE
990.0,에이프로젠바이오로직스,1198.0,상승  11,+0.93%,500.0,874.0,-575.0,-0.81,-29.75
991.0,TIGER 미디어컨텐츠,5480.0,상승  5,+0.09%,0.0,,,,
992.0,씨티알모빌리티,9200.0,상승  50,+0.55%,500.0,4442.0,5.0,-4.88,-17.9
993.0,KODEX 미국종합채권ESG액티브(H),98720.0,상승  315,+0.32%,0.0,,,,
994.0,영풍제지,1700.0,하락  1,-0.06%,500.0,826.0,-30.0,-9.66,-4.22
995.0,미래에셋맵스리츠,3155.0,상승  5,+0.16%,1000.0,109.0,81.0,9.36,6.17
996.0,일신석재,1018.0,하락  4,-0.39%,500.0,1012.0,46.0,-127.25,2.96
997.0,한신공영,6800.0,상승  80,+1.19%,5000.0,13090.0,148.0,2.41,4.27
998.0,플레이그램,619.0,하락  1,-0.16%,100.0,2144.0,-26.0,-2.3,-57.4
999.0,KC코트렐,1228.0,하락  48,-3.76%,500.0,4366.0,-211.0,-1.38,-91.69
1000.0,KODEX 차이나H레버리지(H),1708.0,상승  30,+1.79%,0.0,,,,
1001.0,한솔로지스틱스,2765.0,상승  15,+0.55%,500.0,7265.0,263.0,4.03,16.82
1002.0,두산2우B,86700.0,"상승  1,600",+1.88%,5000.0,,,-5.39,
1003.0,STX그린로지스,10750.0,"상승  1,730",+19.18%,2500.0,283.0,18.0,17.92,
1004.0,마스턴프리미어리츠,2895.0,상승  15,+0.52%,1000.0,41.0,-55.0,-11.01,-4.24
1005.0,일성건설,1411.0,상승  9,+0.64%,500.0,6077.0,73.0,17.86,3.33
1006.0,마이티 26-09 특수채(AAA)액티브,104360.0,하락  5,0.00%,0.0,,,,
1007.0,마니커,1198.0,상승  22,+1.87%,500.0,3396.0,22.0,29.95,-3.23
1008.0,WOORI 반도체밸류체인액티브,11185.0,하락  160,-1.41%,0.0,,,,
